id_col1	factor_col1	lbl_col1	cluster
A2-i129	11	p9-M11	1
A2-i131	9	p10-M9	1
A2-i132	6	p11-F6	1
A2-i133	16	p12-M16	1
A2-i134	16	p13-M16	1
A2-i136	10	p14-M10	1
A2-i138	74	p15-F74	2
A2-i139	75	p16-M75	1
A2-i140	73	p17-F73	1
A2-i141	71	p18-M71	1
A3-i101	36	p1-F36	1
A3-i102	43	p2-F43	1
A3-i106	43	p3-F43	1
A3-i107	39	p4-F39	1
A3-i110	34	p5-F34	1
A3-i145	86	p6-F86	1
A3-i150	87	p7-F87	1
A4-i101	36	p19-M36	1
A4-i102	37	p20-M37	2
A4-i106	43	p21-M43	1
A4-i107	39	p22-M39	1
A4-i110	43	p23-F43	1
A4-i118	89	p24-F89	1
A4-i122	85	p25-M85	1
A4-i124	66	p26-M66	1
A4-i125	64	p27-M64	1
A4-i127	90	p28-M90	1
A4-i128	62	p29-F62	1
A4-i132	87	p30-M87	1
A4-i183	87	p31-M87	1
A4-i184	61	p32-M61	1
A4-i185	61	p33-F61	2
A4-i186	61	p34-F61	1
A4-i188	61	p35-F61	1
A4-i189	25	p36-M25	1
A4-i191	22	p37-F22	1
A4-i192	24	p38-F24	1
A4-i194	20	p39-M20	1
A4-i195	21	p40-F21	1
A5-S1	103	p55-M103	3
A5-S10	89	p48-F89	3
A5-S11	0	p62-NA0	1
A5-S12	0	p63-NA0	1
A5-S13	0	p64-NA0	1
A5-S14	0	p57-F0	1
A5-S15	0	p58-M0	1
A5-S16	0	p59-M0	1
A5-S17	0	p60-M0	1
A5-S18	0	p61-F0	1
A5-S19	55	p56-F55	1
A5-S2	100	p46-F100	3
A5-S20	51	p43-F51	2
A5-S21	51	p54-F51	1
A5-S22	51	p41-M51	3
A5-S23	50	p53-M50	3
A5-S24	50	p52-F50	1
A5-S3	98	p49-F98	3
A5-S4	93	p50-F93	1
A5-S7	92	p51-F92	2
A5-S8	92	p47-M92	2
A5-S9	90	p42-M90	3
A6-I150	51	p72-M51	1
A6-I160	51	p70-F51	1
A6-I201ob	30	p76-M30	1
A6-I204ob	99	p74-F99	2
A6-I205ob	95	p75-F95	2
A6-I206ob	95	p65-F95	2
A6-I207ob	94	p73-F94	2
A6-I208ob	93	p66-F93	3
A6-I210ob	92	p67-F92	2
A6-I211ob	91	p68-F91	2
A6-I214ob	88	p69-F88	2
A6-I215ob	51	p71-F51	1
